,DeviceId,EventEnqueuedUtcTime,EventId,EventProcessedUtcTime,ExportDataId,ExportDataType,Interval,MeasurementTime,MeteringpointId,PartitionId,Quality,Register,RegistrationTime,StepValue,Value,Version,_id,id
0,57975939,2019-06-19T08:21:01.831Z,402cf7bb-6571-36dd-b5de-9b9aa6d882f0,2019-06-19T08:21:01.9038638Z,57975939-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,4668,1,0.0,Volume,06/19/2019 08:20:13,,121.598,2.0,402cf7bb-6571-36dd-b5de-9b9aa6d882f0,402cf7bb-6571-36dd-b5de-9b9aa6d882f0
1,57222612,2019-06-19T08:21:01.82Z,aa34d040-2edf-c4a2-b6ac-4040e4b6346c,2019-06-19T08:21:01.9038638Z,57222612-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,13368,0,0.0,Volume,06/19/2019 08:20:26,,2.622,2.0,aa34d040-2edf-c4a2-b6ac-4040e4b6346c,aa34d040-2edf-c4a2-b6ac-4040e4b6346c
2,57976040,2019-06-19T08:21:01.831Z,3e5b542d-d529-aeba-f887-0a5f70fc32e8,2019-06-19T08:21:01.9038638Z,57976040-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,4693,1,0.0,Volume,06/19/2019 08:20:21,,80.496,2.0,3e5b542d-d529-aeba-f887-0a5f70fc32e8,3e5b542d-d529-aeba-f887-0a5f70fc32e8
3,57975939,2019-06-19T08:21:01.804Z,6524d99d-91b8-f71b-d6dd-018575f11124,2019-06-19T08:21:01.9038638Z,57975939-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,4668,0,0.0,Volume,06/19/2019 08:20:13,,121.598,2.0,6524d99d-91b8-f71b-d6dd-018575f11124,6524d99d-91b8-f71b-d6dd-018575f11124
4,57975943,2019-06-19T08:21:01.815Z,de19443c-08c0-9e61-cd77-93347c089613,2019-06-19T08:21:01.9038638Z,57975943-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,13342,1,0.0,Volume,06/19/2019 08:20:13,,43.818,2.0,de19443c-08c0-9e61-cd77-93347c089613,de19443c-08c0-9e61-cd77-93347c089613
5,57976034,2019-06-19T08:21:15.18Z,2af8d24e-9eba-d01b-0f13-98dac1406f4e,2019-06-19T08:21:15.2418431Z,57976034-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,4534,0,0.0,Volume,06/19/2019 08:21:13,,109.805,2.0,2af8d24e-9eba-d01b-0f13-98dac1406f4e,2af8d24e-9eba-d01b-0f13-98dac1406f4e
6,57976100,2019-06-19T08:21:31.414Z,4b308a7f-cf61-f5ff-8f88-6ed496bf077e,2019-06-19T08:21:31.4735104Z,57976100-9-201-636965280000000000,Measurement,60.0,06/19/2019 08:00:00,4565,1,0.0,Volume,06/19/2019 08:21:14,,48.605,2.0,4b308a7f-cf61-f5ff-8f88-6ed496bf077e,4b308a7f-cf61-f5ff-8f88-6ed496bf077e
7,57975970,2019-06-19T09:01:42.304Z,5625e6a2-66d7-d194-ab53-9f0061ce5791,2019-06-19T09:01:42.3524108Z,57975970-9-201-636965316000000000,Measurement,60.0,06/19/2019 09:00:00,13336,0,0.0,Volume,06/19/2019 09:01:33,,39.85,2.0,5625e6a2-66d7-d194-ab53-9f0061ce5791,5625e6a2-66d7-d194-ab53-9f0061ce5791
8,57222610,2019-06-19T09:01:42.341Z,2ad79786-eb84-0d03-1457-33894b22f872,2019-06-19T09:01:42.461424Z,57222610-9-201-636965316000000000,Measurement,60.0,06/19/2019 09:00:00,13365,1,0.0,Volume,06/19/2019 09:01:38,,1.795,2.0,2ad79786-eb84-0d03-1457-33894b22f872,2ad79786-eb84-0d03-1457-33894b22f872
9,57976038,2019-06-19T09:02:08.814Z,b4503840-837c-810a-4116-e7cc239ca1e9,2019-06-19T09:02:08.9178585Z,57976038-9-201-636965316000000000,Measurement,60.0,06/19/2019 09:00:00,4527,0,0.0,Volume,06/19/2019 09:01:44,,54.369,2.0,b4503840-837c-810a-4116-e7cc239ca1e9,b4503840-837c-810a-4116-e7cc239ca1e9
10,57976055,2019-06-19T09:02:08.859Z,ce339679-a971-61f2-cc3f-e1856581039d,2019-06-19T09:02:08.9169076Z,57976055-9-201-636965316000000000,Measurement,60.0,06/19/2019 09:00:00,4646,1,0.0,Volume,06/19/2019 09:02:04,,57.17,2.0,ce339679-a971-61f2-cc3f-e1856581039d,ce339679-a971-61f2-cc3f-e1856581039d
